Pictilisib,combination,Cisplatin
5-Fluorouracil,combination,Cisplatin
AZD-7762,combination,Cisplatin
Sapitinib,combination,Cisplatin
Axitinib,combination,Cisplatin
MK-2206,combination,Cisplatin
PD-173074,combination,Cisplatin
Gemcitabine,combination,Docetaxel
Nutlin-3a (-),combination,Docetaxel
Temozolomide,combination,Docetaxel
Luminespib,combination,Docetaxel
Bortezomib,combination,Docetaxel
Crizotinib,combination,Docetaxel
Cisplatin,combination,Docetaxel
Trametinib,combination,Docetaxel
Vorinostat,combination,Docetaxel
Navitoclax,combination,Docetaxel
Lapatinib,combination,Docetaxel
Taselisib,combination,Docetaxel
MK-1775,combination,Docetaxel
Palbociclib,combination,Docetaxel
Linsitinib,combination,Docetaxel
Olaparib,combination,Docetaxel
Olaparib,combination,Navitoclax
Bortezomib,combination,Navitoclax
Palbociclib,combination,Navitoclax
Lapatinib,combination,Navitoclax
Nutlin-3a (-),combination,Navitoclax
Taselisib,combination,Navitoclax
Temozolomide,combination,Navitoclax
Gemcitabine,combination,Navitoclax
Trametinib,combination,Navitoclax
Linsitinib,combination,Navitoclax
Crizotinib,combination,Navitoclax
MK-1775,combination,Navitoclax
Cisplatin,combination,Navitoclax
Vorinostat,combination,Navitoclax
Luminespib,combination,Navitoclax
5-Fluorouracil,combination,Vorinostat
Sapitinib,combination,MK-2206
5-Fluorouracil,combination,MK-2206
PD-173074,combination,MK-2206
AZD-7762,combination,MK-2206
Pictilisib,combination,MK-2206
Linsitinib,combination,Palbociclib
Lapatinib,combination,Palbociclib
Olaparib,combination,Palbociclib
Taselisib,combination,Palbociclib
Nutlin-3a (-),combination,Palbociclib
MK-1775,combination,Palbociclib
Gemcitabine,combination,Palbociclib
Crizotinib,combination,Palbociclib
Vorinostat,combination,Palbociclib
Trametinib,combination,Palbociclib
Cisplatin,combination,Palbociclib
Temozolomide,combination,Palbociclib
Luminespib,combination,Palbociclib
Bortezomib,combination,Palbociclib
Olaparib,combination,Pictilisib
Bortezomib,combination,Pictilisib
Palbociclib,combination,Pictilisib
Lapatinib,combination,Pictilisib
Nutlin-3a (-),combination,Pictilisib
Taselisib,combination,Pictilisib
Temozolomide,combination,Pictilisib
Gemcitabine,combination,Pictilisib
Trametinib,combination,Pictilisib
Docetaxel,combination,Pictilisib
Linsitinib,combination,Pictilisib
Crizotinib,combination,Pictilisib
MK-1775,combination,Pictilisib
Vorinostat,combination,Pictilisib
Navitoclax,combination,Pictilisib
Luminespib,combination,Pictilisib
Palbociclib,combination,5-Fluorouracil
Crizotinib,combination,5-Fluorouracil
Trametinib,combination,5-Fluorouracil
Docetaxel,combination,5-Fluorouracil
Gemcitabine,combination,5-Fluorouracil
Nutlin-3a (-),combination,5-Fluorouracil
Temozolomide,combination,5-Fluorouracil
Luminespib,combination,5-Fluorouracil
Bortezomib,combination,5-Fluorouracil
Navitoclax,combination,5-Fluorouracil
Lapatinib,combination,5-Fluorouracil
Taselisib,combination,5-Fluorouracil
MK-1775,combination,5-Fluorouracil
Linsitinib,combination,5-Fluorouracil
Olaparib,combination,5-Fluorouracil
Axitinib,combination,Crizotinib
Sapitinib,combination,Crizotinib
PD-173074,combination,Crizotinib
AZD-7762,combination,Crizotinib
MK-2206,combination,Crizotinib
PD-173074,combination,MK-1775
Axitinib,combination,MK-1775
Sapitinib,combination,MK-1775
MK-2206,combination,MK-1775
AZD-7762,combination,MK-1775
Olaparib,combination,Gemcitabine
Bortezomib,combination,Gemcitabine
Lapatinib,combination,Gemcitabine
Nutlin-3a (-),combination,Gemcitabine
Taselisib,combination,Gemcitabine
Temozolomide,combination,Gemcitabine
Trametinib,combination,Gemcitabine
Linsitinib,combination,Gemcitabine
Crizotinib,combination,Gemcitabine
MK-1775,combination,Gemcitabine
Cisplatin,combination,Gemcitabine
Vorinostat,combination,Gemcitabine
Luminespib,combination,Gemcitabine
Crizotinib,combination,Bortezomib
Vorinostat,combination,Bortezomib
Trametinib,combination,Bortezomib
Cisplatin,combination,Bortezomib
Nutlin-3a (-),combination,Bortezomib
Temozolomide,combination,Bortezomib
Luminespib,combination,Bortezomib
Lapatinib,combination,Bortezomib
Taselisib,combination,Bortezomib
MK-1775,combination,Bortezomib
Linsitinib,combination,Bortezomib
Olaparib,combination,Bortezomib
Temozolomide,combination,Trametinib
MK-1775,combination,Trametinib
Linsitinib,combination,Trametinib
Lapatinib,combination,Trametinib
