drug1_id,drug2_id
0,3138
1,37
1,46
1,48
1,94
1,97
1,115
1,129
1,152
1,157
1,178
1,252
1,328
1,532
1,537
1,539
1,541
1,565
1,573
1,694
1,709
1,720
1,753
1,756
1,760
1,761
1,765
1,794
1,807
1,819
1,833
1,878
1,954
1,1075
1,1088
1,1264
1,1268
1,1318
1,1342
1,1382
1,1400
1,1529
1,1557
1,1634
1,1645
1,1653
1,1686
1,1761
1,1779
1,1807
1,1821
1,1850
1,1942
1,1967
1,1992
1,1997
1,2003
1,2027
1,2080
1,2130
1,2167
1,2171
1,2187
1,2323
1,2470
1,2494
1,2496
1,2502
1,2539
1,2626
1,2649
1,2669
1,2802
1,2871
1,2874
1,2879
1,2952
1,3074
1,3082
1,3091
1,3114
1,3196
1,3316
1,3414
1,3473
2,2819
2,3138
4,105
4,139
4,211
4,326
4,335
4,381
4,384
4,394
4,398
4,422
4,427
4,433
4,439
4,465
4,468
4,482
4,500
4,512
4,600
4,697
4,698
4,902
4,949
4,952
4,958
4,967
4,973
4,981
4,1000
4,1004
4,1027
4,1077
4,1149
4,1152
4,1155
4,1159
4,1169
4,1171
4,1173
4,1191
4,1195
4,1198
4,1205
4,1211
4,1217
4,1221
4,1275
4,1285
4,1288
4,1290
4,1293
4,1343
4,1351
4,1379
4,1385
4,1412
4,1440
4,1449
4,1553
4,1556
4,1561
4,1597
4,1599
4,1636
4,1639
4,1679
4,1694
4,1696
4,1716
4,1726
4,1727
4,1736
4,1741
4,1844
4,1851
4,1859
4,1878
4,1893
4,1901
4,1986
4,1997
4,1998
4,1999
4,2018
4,2022
4,2042
4,2043
4,2054
4,2055
4,2064
4,2065
4,2068
4,2070
4,2081
4,2111
4,2260
4,2309
4,2335
4,2380
4,2392
4,2397
4,2398
4,2425
4,2426
4,2535
4,2536
4,2551
4,2562
4,2564
4,2580
4,2600
4,2640
4,2648
4,2664
4,2666
4,2692
4,2709
4,2722
4,2742
4,2744
4,2816
4,2939
4,2958
4,2964
4,2977
4,2985
4,3024
4,3037
4,3099
4,3114
4,3138
4,3144
4,3152
4,3153
4,3168
4,3176
4,3223
4,3236
4,3250
4,3252
4,3254
4,3255
4,3257
4,3295
4,3336
4,3348
4,3353
4,3368
4,3454
4,3462
4,3468
5,2539
