entity,internal_id,embedding_source,has_kg_relation,embedding_dimension
CID10237,0,trained,True,128
CID46907787,1,trained,True,128
CID91466,2,trained,True,128
CID442614,3,missing_zero,False,128
CID5342,4,missing_zero,False,128
CID5287792,5,missing_zero,False,128
CID65064,6,trained,True,128
CID105066,7,trained,True,128
CID449069,8,trained,True,128
CID16219612,9,missing_zero,False,128
CID6710658,10,missing_zero,False,128
CID9966538,11,missing_zero,False,128
CID135398645,12,missing_zero,False,128
CID5327721,13,trained,True,128
CID448055,14,trained,True,128
CID701891,15,missing_zero,False,128
CID4979942,16,missing_zero,False,128
CID400633,17,trained,True,128
CID12620,18,missing_zero,False,128
CID2682,19,missing_zero,False,128
CID405012,20,trained,True,128
CID11064619,21,missing_zero,False,128
CID10995177,22,trained,True,128
CID154272,23,trained,True,128
CID97226,24,missing_zero,False,128
CID154943,25,missing_zero,False,128
CID1271002,26,trained,True,128
CID2836600,27,missing_zero,False,128
CID515328,28,trained,True,128
CID46215462,29,missing_zero,False,128
CID135564749,30,missing_zero,False,128
CID45942672,31,missing_zero,False,128
CID44156921,32,missing_zero,False,128
CID25195294,33,trained,True,128
CID25093235,34,missing_zero,False,128
CID3047796,35,trained,True,128
CID130966,36,missing_zero,False,128
CID46898058,37,trained,True,128
CID25108829,38,missing_zero,False,128
CID9796370,39,trained,True,128
CID25168990,40,missing_zero,False,128
CID9803932,41,missing_zero,False,128
CID104794,42,missing_zero,False,128
CID25265312,43,missing_zero,False,128
CID135564631,44,missing_zero,False,128
CID72686,45,trained,True,128
CID3651377,46,missing_zero,False,128
CID44519124,47,missing_zero,False,128
CID44599690,48,trained,True,128
CID23681107,49,missing_zero,False,128
CID44246499,50,missing_zero,False,128
CID11381449,51,trained,True,128
CID71304818,52,missing_zero,False,128
CID52934180,53,missing_zero,False,128
CID108187,54,missing_zero,False,128
CID2404,55,missing_zero,False,128
CID135398735,56,trained,True,128
CID5328779,57,trained,True,128
CID49830260,58,trained,True,128
CID54766013,59,missing_zero,False,128
CID46742353,60,missing_zero,False,128
CID57412684,61,missing_zero,False,128
CID72551586,62,missing_zero,False,128
CID71571562,63,missing_zero,False,128
CID4705,64,missing_zero,False,128
CID3922,65,trained,True,128
CID65014,66,missing_zero,False,128
CID78320750,67,missing_zero,False,128
CID5283066,68,missing_zero,False,128
CID81689696,69,missing_zero,False,128
CID644215,70,trained,True,128
CID11750009,71,missing_zero,False,128
CID6505803,72,trained,True,128
CID9852573,73,trained,True,128
CID9867340,74,missing_zero,False,128
CID3203,75,missing_zero,False,128
CID3003565,76,missing_zero,False,128
CID3378093,77,missing_zero,False,128
CID10317566,78,trained,True,128
CID118572017,79,missing_zero,False,128
CID5327916,80,missing_zero,False,128
CID118693658,81,missing_zero,False,128
CID9863367,82,missing_zero,False,128
CID23063810,83,missing_zero,False,128
CID9810884,84,missing_zero,False,128
CID657237,85,trained,True,128
CID8975,86,trained,True,128
CID66414,87,trained,True,128
CID66414,88,trained,True,128
CID6604437,89,missing_zero,False,128
CID1269845,90,missing_zero,False,128
CID92045137,91,missing_zero,False,128
CID3549980,92,missing_zero,False,128
CID5459840,93,trained,True,128
