mode,split,drug1_id,drug2_id,head,relation,tail
warm,val,1,88,CID46907787,combination,CID66414
warm,val,1,158,CID11598628,combination,CID46907787
warm,val,1,191,CID24866313,combination,CID46907787
warm,val,1,196,CID135565545,combination,CID46907787
warm,val,1,213,CID46907787,combination,CID49846579
warm,val,1,238,CID24771867,combination,CID46907787
warm,val,1,270,CID10226546,combination,CID46907787
warm,val,1,285,CID11338033,combination,CID46907787
warm,val,1,292,CID46907787,combination,CID9918559
warm,val,1,298,CID11676786,combination,CID46907787
warm,val,1,608,CID400769,combination,CID46907787
warm,val,1,613,CID154256,combination,CID46907787
warm,val,1,738,CID46907787,combination,CID9820526
warm,val,1,752,CID46907787,combination,CID56603532
warm,val,1,757,CID46907787,combination,CID57519547
warm,val,1,766,CID25256849,combination,CID46907787
warm,val,1,785,CID46907787,combination,CID73265233
warm,val,1,826,CID46907787,combination,CID73265292
warm,val,1,838,CID11957503,combination,CID46907787
warm,val,1,854,CID46907787,combination,CID5351344
warm,val,1,1083,CID11442891,combination,CID46907787
warm,val,1,1247,CID46907787,combination,CID60160561
warm,val,1,1362,CID11671467,combination,CID46907787
warm,val,1,1526,CID46907787,combination,CID71729975
warm,val,1,1723,CID2900,combination,CID46907787
warm,val,1,1855,CID46907787,combination,CID6917907
warm,val,1,1927,CID16718576,combination,CID46907787
warm,val,1,2147,CID46907787,combination,CID60060499
warm,val,1,2392,CID3034010,combination,CID46907787
warm,val,1,2532,CID11092,combination,CID46907787
warm,val,1,2679,CID46907787,combination,CID5284613
warm,val,1,2878,CID22833280,combination,CID46907787
warm,val,1,2882,CID10127622,combination,CID46907787
warm,val,1,3077,CID336423,combination,CID46907787
warm,val,3,3138,CID442614,combination,CID5394
warm,val,4,343,CID1986,combination,CID5342
warm,val,4,370,CID2082,combination,CID5342
warm,val,4,406,CID16231,combination,CID5342
warm,val,4,668,CID387447,combination,CID5342
warm,val,4,674,CID5342,combination,CID6100
warm,val,4,693,CID2471,combination,CID5342
warm,val,4,989,CID156419,combination,CID5342
warm,val,4,1019,CID119182,combination,CID5342
warm,val,4,1073,CID5342,combination,CID6253
warm,val,4,1333,CID5342,combination,CID5991
warm,val,4,1432,CID5324346,combination,CID5342
warm,val,4,1435,CID3406,combination,CID5342
warm,val,4,1621,CID37393,combination,CID5342
warm,val,4,1640,CID3657,combination,CID5342
warm,val,4,1858,CID26879,combination,CID5342
warm,val,4,2082,CID4212,combination,CID5342
warm,val,4,2327,CID4499,combination,CID5342
warm,val,4,2333,CID104858,combination,CID5342
warm,val,4,2340,CID3019427,combination,CID5342
warm,val,4,2345,CID5342,combination,CID54675769
warm,val,4,2565,CID439693,combination,CID5342
warm,val,4,2651,CID5342,combination,CID5755
warm,val,4,2689,CID1046,combination,CID5342
warm,val,4,2767,CID37542,combination,CID5342
warm,val,4,2781,CID5070,combination,CID5342
warm,val,4,3003,CID5342,combination,CID5833
warm,val,4,3169,CID5342,combination,CID5430
warm,val,4,3178,CID5342,combination,CID60648
warm,val,4,3222,CID216237,combination,CID5342
warm,val,4,3242,CID5342,combination,CID5546
warm,val,4,3456,CID5342,combination,CID5719
warm,val,6,3138,CID5394,combination,CID65064
warm,val,7,238,CID105066,combination,CID24771867
warm,val,7,537,CID105066,combination,CID11977753
warm,val,7,2121,CID105066,combination,CID73265389
warm,val,10,2819,CID25126798,combination,CID6710658
warm,val,14,158,CID11598628,combination,CID448055
warm,val,15,2819,CID25126798,combination,CID701891
warm,val,17,259,CID400633,combination,CID454216
warm,val,17,329,CID132971,combination,CID400633
warm,val,17,384,CID135401907,combination,CID400633
warm,val,17,405,CID2141,combination,CID400633
warm,val,17,502,CID400633,combination,CID9444
warm,val,17,621,CID400633,combination,CID77082
warm,val,17,666,CID400633,combination,CID5360373
warm,val,17,922,CID2578,combination,CID400633
warm,val,17,958,CID2708,combination,CID400633
warm,val,17,1065,CID2907,combination,CID400633
warm,val,17,1123,CID3062316,combination,CID400633
warm,val,17,1125,CID400633,combination,CID62770
warm,val,17,1465,CID356653,combination,CID400633
warm,val,17,1857,CID3902,combination,CID400633
warm,val,17,2027,CID400633,combination,CID667490
warm,val,17,2082,CID400633,combination,CID4212
warm,val,17,2740,CID400633,combination,CID5035
warm,val,17,2996,CID216239,combination,CID400633
warm,val,17,3039,CID400633,combination,CID5329102
