head,relation,tail
CID100016,combination,CID5394
CID10026128,combination,CID11598628
CID10026128,combination,CID5394
CID10027278,combination,CID5394
CID10027278,combination,CID6918837
CID10029385,combination,CID6918837
CID10034073,combination,CID5394
CID10047612,combination,CID11598628
CID10047612,combination,CID4046
CID10047612,combination,CID6135
CID1005519,combination,CID11598628
CID1005654,combination,CID11598628
CID1005654,combination,CID24821094
CID10070893,combination,CID25126798
CID10074640,combination,CID11347535
CID10074640,combination,CID5394
CID10074640,combination,CID6918837
CID10077130,combination,CID11598628
CID10077130,combination,CID6918837
CID10077147,combination,CID25126798
CID10090485,combination,CID11707110
CID10090485,combination,CID11977753
CID10090485,combination,CID126941
CID10090485,combination,CID16070111
CID10090485,combination,CID16654980
CID10090485,combination,CID176870
CID10090485,combination,CID23725625
CID10090485,combination,CID24821094
CID10090485,combination,CID24856436
CID10090485,combination,CID24866313
CID10090485,combination,CID24964624
CID10090485,combination,CID24978538
CID10090485,combination,CID31703
CID10090485,combination,CID36314
CID10090485,combination,CID46907787
CID10090485,combination,CID51001932
CID10090485,combination,CID5281032
CID10090485,combination,CID5330286
CID10090485,combination,CID5394
CID10090485,combination,CID57339144
CID10090485,combination,CID60199242
CID10090485,combination,CID60750
CID10090485,combination,CID60838
CID10090485,combination,CID90241673
CID10090750,combination,CID1046
CID10090750,combination,CID1047
CID10090750,combination,CID104865
CID10090750,combination,CID10531
CID10090750,combination,CID115355
CID10090750,combination,CID11876263
CID10090750,combination,CID119182
CID10090750,combination,CID121396
CID10090750,combination,CID123631
CID10090750,combination,CID129228
CID10090750,combination,CID130313
CID10090750,combination,CID130881
CID10090750,combination,CID130904
CID10090750,combination,CID13109
CID10090750,combination,CID13342
CID10090750,combination,CID134018
CID10090750,combination,CID13520
CID10090750,combination,CID135398740
CID10090750,combination,CID135413536
CID10090750,combination,CID135449332
CID10090750,combination,CID13769
CID10090750,combination,CID13789
CID10090750,combination,CID148124
CID10090750,combination,CID15459
CID10090750,combination,CID157920
CID10090750,combination,CID16667669
CID10090750,combination,CID2082
CID10090750,combination,CID208898
CID10090750,combination,CID208902
CID10090750,combination,CID2130
CID10090750,combination,CID216239
CID10090750,combination,CID2187
CID10090750,combination,CID219078
CID10090750,combination,CID2284
CID10090750,combination,CID2471
CID10090750,combination,CID2477
CID10090750,combination,CID2576
CID10090750,combination,CID2719
CID10090750,combination,CID2733
CID10090750,combination,CID2796
CID10090750,combination,CID3000518
CID10090750,combination,CID3019
CID10090750,combination,CID3019427
CID10090750,combination,CID3034010
CID10090750,combination,CID3038
CID10090750,combination,CID3052
CID10090750,combination,CID3117
CID10090750,combination,CID3156
CID10090750,combination,CID31703
CID10090750,combination,CID3229
CID10090750,combination,CID33036
CID10090750,combination,CID3342
CID10090750,combination,CID3373
CID10090750,combination,CID3415
CID10090750,combination,CID3446
CID10090750,combination,CID3657
CID10090750,combination,CID3696
CID10090750,combination,CID37542
CID10090750,combination,CID387447
CID10090750,combination,CID3878
CID10090750,combination,CID3883
CID10090750,combination,CID38853
CID10090750,combination,CID3955
CID10090750,combination,CID4011
CID10090750,combination,CID4032
CID10090750,combination,CID4046
CID10090750,combination,CID4054
CID10090750,combination,CID4060
CID10090750,combination,CID4075
CID10090750,combination,CID41684
CID10090750,combination,CID4211
CID10090750,combination,CID4212
CID10090750,combination,CID4219798
CID10090750,combination,CID4369359
CID10090750,combination,CID439693
CID10090750,combination,CID441207
CID10090750,combination,CID441300
CID10090750,combination,CID441350
CID10090750,combination,CID446541
CID10090750,combination,CID4513
CID10090750,combination,CID4641
CID10090750,combination,CID4649
CID10090750,combination,CID4674
CID10090750,combination,CID4735
CID10090750,combination,CID4909
CID10090750,combination,CID5073
CID10090750,combination,CID51634
CID10090750,combination,CID5284513
CID10090750,combination,CID5284583
CID10090750,combination,CID5311181
CID10090750,combination,CID5326
CID10090750,combination,CID5329102
CID10090750,combination,CID5342
CID10090750,combination,CID5358
CID10090750,combination,CID5360515
CID10090750,combination,CID5360696
CID10090750,combination,CID5426
CID10090750,combination,CID5462501
CID10090750,combination,CID54675776
CID10090750,combination,CID54680692
CID10090750,combination,CID5493444
CID10090750,combination,CID5526
CID10090750,combination,CID55329
CID10090750,combination,CID5546
