drug_CID,drug_name,smiles
CID5287792,(-)-Blebbistatin,CC1=CC2=C(C=C1)N=C3[C@](C2=O)(CCN3C4=CC=CC=C4)O
CID65064,(-)-EPIGALLOCATECHIN GALLATE,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
CID105066,(-)-Ethyl apovincaminate,CC[C@]12CCCN3[C@H]1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC
CID936,Niacinamide,C1=CC(=CN=C1)C(=O)N
CID449069,(-)-HUPERZINE A (HUPA),CC=C1[C@@H]2CC3=C([C@]1(CC(=C2)C)N)C=CC(=O)N3
CID16219612,(-)-MK 801 MALEATE,C[C@]12C3=CC=CC=C3C[C@H](N1)C4=CC=CC=C24.C(=C\C(=O)O)\C(=O)O
CID10237,(+)-BICUCULLINE,CN1CCC2=CC3=C(C=C2[C@H]1[C@H]4C5=C(C6=C(C=C5)OCO6)C(=O)O4)OCO3
CID936,NICOTINAMIDE (VITAMIN B3),C1=CC(=CN=C1)C(=O)N
CID2404,131848-97-0,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C5CC(CCN5C6=CC=CC=C64)CN
CID442614,(+)-USNiacin,CC1=C(C(=C2C(=C1O)[C@]3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)C)O
CID6710658,"(13S)-3-hydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one",C[C@]12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O
CID9966538,"(3S,4R)-Tofacitinib",C[C@@H]1CCN(C[C@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N
CID2404,RO-31-8425,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C5CC(CCN5C6=CC=CC=C64)CN
CID5327721,(Phenylindolyl)maleimide deriv. 79,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CC(=CC(=C4)Cl)Cl
CID448055,(R)-(-)-Rolipram,COC1=C(C=C(C=C1)[C@H]2CC(=O)NC2)OC3CCCC3
CID2746,CI994 (TACEDINALINE),CC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2N
CID3032,"{2-[(2,6-dichlorophenyl)amino]phenyl}acetate",C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl
CID701891,1-(1-Naphthylmethyl)piperazine,C1CN(CCN1)CC2=CC=CC3=CC=CC=C32
CID4979942,1-(4-Fluorophenyl)-3-(3-(4-fluorophenyl)-3-hydroxypropyl)-4-(4-hydroxyphenyl)azetidin-2-one,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O
