id,smiles,drug_name
985,C1=C(C(=O)NC(=O)N1)F,5-FU
2328,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,BORTEZOMIB
2775,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,DASATINIB
2855,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,DEXAMETHASONE
2922,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,DOXORUBICIN
2963,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,ERLOTINIB
3058,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,ETOPOSIDE
3302,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)C)C)O)OC,GELDANAMYCIN
3303,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,GEMCITABINE
3559,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,LAPATINIB
3692,CN(C)C(=N)N=C(N)N,METFORMIN
3825,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,METHOTREXATE
4345,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,PACLITAXEL
4875,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,SUNITINIB
5081,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O,TOPOTECAN
5237,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,VINBLASTINE
5243,CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC,VINORELBINE
2761,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O.Cl,CYTARABINE HYDROCHLORIDE
3400,CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N,IMIQUIMOD
5097,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O,TRETINOIN
4372,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)NC(CCC(=O)O)C(=O)O,PEMETREXED
4011,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,NILOTINIB
2154,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,AZACYTIDINE
3398,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,IMATINIB
3080,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)O)F)N,FLUDARABINE BASE
4739,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,SORAFENIB
2907,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,DOCETAXEL
3691,C1=NC2=C(N1)C(=S)N=CN2,MERCAPTOPURINE
2861,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,DEXRAZOXANE
4514,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl.Cl,QUINACRINE HYDROCHLORIDE
4532,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,RALOXIFENE
3569,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,LETROZOLE
2389,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,CELECOXIB
2326,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,BLEOMYCIN
4920,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,THALIDOMIDE
3715,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,MITOXANTRONE
3695,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,METHOXSALEN
4976,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,TAMOXIFEN CITRATE
1872,C1=NNC2=C1C(=O)NC=N2,ALLOPURINOL
3714,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,MITOTANE
3494,CC1CCCC2(C(O2)CC(NC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C)C,IXABEPILONE
3177,CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,FULVESTRANT
2373,C(CCl)NC(=O)N(CCCl)N=O,CARMUSTINE
3362,C(=O)(N)NO,HYDROXYUREA
5324,C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O,ZOLEDRONIC ACID
1900,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,ANASTROZOLE
2807,CN(C)N=NC1=C(NC=N1)C(=O)N,DACARBAZINE
4451,C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,PRALATREXATE
3583,C1CCC(CC1)NC(=O)N(CCCl)N=O,LOMUSTINE
3567,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,LENALIDOMIDE
4235,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N.Cl,PAZOPANIB HYDROCHLORIDE
3197,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,GEFITINIB
2831,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O.Cl,DAUNORUBICIN HYDROCHLORIDE
3801,CC1=CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C,MEGESTROL ACETATE
5000,COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)OC6C(C(C7C(O6)COC(O7)C8=CC=CS8)O)O,TENIPOSIDE
1893,C(CN)CNCCSP(=O)(O)O,AMIFOSTINE
5172,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,VEMURAFENIB
2731,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,CRIZOTINIB
1985,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,ABIRATERONE
