entity,id
(+)-BICUCULLINE,0
(+)-JQ1,1
(+)-MATRINE,2
(+)-USNiacin,3
(+\\/-)-SULFINPYRAZONE,4
(-)-Blebbistatin,5
(-)-EPIGALLOCATECHIN GALLATE,6
(-)-Ethyl apovincaminate,7
(-)-HUPERZINE A (HUPA),8
(-)-MK 801 MALEATE,9
"(13S)-3-hydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one",10
"(3S,4R)-Tofacitinib",11
"(6R)-5,10-Methylenetetrahydrofolate",12
(Phenylindolyl)maleimide deriv. 79,13
(R)-(-)-Rolipram,14
1-(1-Naphthylmethyl)piperazine,15
1-(4-Fluorophenyl)-3-(3-(4-fluorophenyl)-3-hydroxypropyl)-4-(4-hydroxyphenyl)azetidin-2-one,16
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,17
1-DOCOSANOL,18
1-HEXADECANOL,19
1-Methyl-D-tryptophan,20
1-beta-D-Xylofuranosyluracil,21
10-DEACETYLBACCATIN-III,22
10-Deacetylbaccatin,23
10-Hydroxycamptothecin,24
10-epi-Aclacinomycin A,25
100,26
10000,27
10002,28
10013,29
100130827,30
10014,31
10019,32
10021,33
1003,34
10038,35
10039,36
10057,37
10058-F4,38
10060,39
10074-G5,40
10105,41
10110,42
10114,43
10135,44
1017,45
10170,46
1018,47
10188,48
1019,49
101935602,50
102,51
1020,52
1021,53
1022,54
1024,55
10242,56
10247,57
1025,58
10257,59
1026,60
10280,61
10298,62
10327,63
10356-76-0,64
10376,65
1037624-75-1,66
10381,67
10382,68
10383,69
1044870-39-4,70
10461,71
1047953-91-2,72
10494,73
10499,74
10599,75
1061318-81-7,76
1062368-24-4,77
10645,78
1066,79
10682,80
107,81
10724,82
1072959-67-1,83
10733,84
10746,85
10769,86
10783,87
108,88
1080,89
10800,90
10825,91
108341-18-0,92
10846,93
10855,94
10857,95
10863,96
108740-89-2,97
1088965-37-0,98
10893,99
10919,100
1093403-33-8,101
10951,102
10988,103
11-cis Retinoic Acid,104
11011,105
1101810-02-9,106
11040,107
110448-33-4,108
1105,109
11069,110
1109,111
11096,112
111,113
1111,114
11113,115
11156,116
11183,117
11184,118
11188,119
11200,120
11201,121
11213,122
11238,123
11251,124
11255,125
112648-68-7,126
1128,127
11280,128
1129,129
11309,130
1131,131
1132,132
113235,133
11329,134
1133,135
11330,136
11331,137
1134,138
11343,139
1135,140
1136,141
1137,142
1138,143
1139,144
1140,145
1141,146
1142,147
114294,148
1143,149
1144,150
1144035-53-9,151
1145,152
114548,153
1146,154
1147,155
115584,156
116085,157
116443,158
116444,159
116447,160
1169562-71-3,161
117048-62-1,162
117144,163
117155,164
1181,165
118414-82-7,166
1187,167
1188,168
118856,169
1195,170
1196,171
1197996-80-7,172
1198,173
11981,174
120227,175
1202884-94-3,176
12048,177
120892,178
121268-17-5,179
1215,180
122011,181
122042,182
1221186-53-3,183
1230,184
123096,185
123228,186
1233,187
1234,188
1239610-44-6,189
124,190
1241,191
1244,192
124583,193
125,194
126,195
1262770-73-9,196
1263,197
1268,198
1269,199
127,200
13,201
1301214-47-0,202
130332-27-3,203
130399,204
1312,205
131848-97-0,206
131890,207
132,208
1326,209
1327,210
1329,211
13292-46-1,212
1339,213
134,214
1340,215
134036-52-5,216
1345,217
1346,218
1346528-06-0,219
134864,220
1349,221
135,222
1350,223
1351,224
1352608-82-2,225
1357171-62-0,226
136,227
1370256-78-2,228
1371,229
1373,230
1374,231
1376,232
1384,233
1385,234
1387,235
140,236
140469,237
140609,238
140901,239
142,240
1421227-52-2,241
143,242
1432,243
1436,244
1439901-97-9,245
1445,246
1452,247
1453,248
1454,249
145407,250
145482,251
1455,252
1456,253
1457,254
1459,255
146,256
146802,257
147,258
147746,259
148,260
1491,261
150,262
150094,263
1504,264
1508,265
1509,266
151,267
1510,268
1511,269
151306,270
152,271
153,272
153436-54-5,273
1535,274
153559-76-3,275
1536,276
154,277
1543,278
1544,279
1545,280
1548,281
154807,282
155,283
155148-31-5,284
1554458-53-5,285
1555,286
1557,287
1558,288
1559,289
156,290
1565,291
1573,292
1576,293
1577,294
1583,295
1584,296
1585,297
1586,298
1588,299
1594,300
1595,301
16-16-dimethyl PGE2,302
1604,303
160728,304
1610,305
1612,306
1613,307
1621,308
162466,309
1627696-51-8,310
1633,311
16337,312
1634,313
1636,314
1644,315
1645,316
1646,317
164658-13-3,318
165631,319
1666,320
166614,321
166785,322
167359,323
17 alpha-propionate,324
17-AAG (TANESPIMYCIN),325
17-DMAG (ALVESPIMYCIN) HCL,326
17-hydroxy Wortmannin,327
1716,328
1717,329
1719,330
1723,331
1728,332
1733,333
1742,334
176,335
1760,336
1773,337
177530-93-7,338
178,339
1786,340
1787,341
1788,342
1789,343
17_-hydroxy Wortmannin,344
18,345
1800,346
180083-23-2,347
1803,348
1806,349
1808,350
1812,351
1813,352
1814,353
1815,354
1816,355
1827,356
183321-86-0,357
1841,358
1844849-11-1,359
185,360
185039-99-0,361
1859,362
186,363
1869912-40-2,364
187,365
1890,366
19,367
190,368
1901,369
1903,370
1909,371
191,372
1910,373
193746-75-7,374
1956,375
196,376
1969,377
1977,378
198474-05-4,379
1991,380
199433-58-4,381
2,382
2-FLUORO ARA-A,383
2-Fluoroadenosine,384
2-Methoxyestradiol,385
2-Methoxyestradiol (2-MeOE2),386
"2-Propenoic acid, 3-[4-(1H-imidazol-1-ylmethyl)phenyl]-, (Z)-",387
2-THIOURACIL,388
2-[4-[3-[(4-Oxidanylidene-3~{h}-Phthalazin-1-Yl)methyl]phenyl]carbonylpiperazin-1-Yl]pyridine-3-Carbonitrile,389
2-propylpentanoate,390
20-HYDROXYECDYSONE,391
200484-11-3,392
2006,393
2011,394
201943-63-7,395
202374,396
2030,397
203068,398
2041,399
2042,400
2043,401
2044,402
2045,403
2046,404
2047,405
2048,406
204851,407
2049,408
2050,409
2051,410
2053,411
2064,412
2065,413
2066,414
207,415
2078,416
208,417
2081,418
2099,419
210,420
2100,421
2101,422
2103,423
2104,424
211915-06-9,425
2120,426
213,427
2139,428
2147,429
2149,430
2152,431
215303-72-3,432
2155,433
2158,434
2159,435
216,436
2160,437
2168,438
2169,439
217,440
2172,441
217645-70-0,442
218137-86-1,443
2182,444
2185,445
2191,446
2194,447
219931,448
221656,449
221955,450
2222,451
2224,452
222962,453
2230,454
2235,455
2237,456
2241,457
2242,458
2246,459
2247,460
225689,461
2260,462
2261,463
2263,464
2264,465
2268,466
227088-94-0,467
2280,468
2281,469
22848,470
22858,471
2287,472
2289,473
22933,474
22978,475
22983,476
23012,477
23028,478
23043,479
23097,480
231,481
23113,482
23173,483
23192,484
23193,485
2321,486
2322,487
23235,488
2324,489
23387,490
23396,491
23408,492
23410,493
23411,494
2342,495
23420,496
23435,497
23450,498
23468,499
23475,500
23476,501
2348,502
2350,503
2356,504
23569,505
2357,506
23590,507
23604,508
23617,509
23621,510
23632,511
23649,512
23657,513
23678,514
23683,515
238,516
239,517
240,518
241,519
24145,520
2444,521
246,522
247,523
2475,524
249,525
2492,526
25,527
251,528
2516,529
252003-65-9,530
252916-29-3,531
2534,532
2539,533
2548,534
2550,535
255239,536
2554,537
2555,538
2556,539
2557,540
2558,541
2559,542
2560,543
2561,544
2562,545
2563,546
2564,547
2565,548
2566,549
2567,550
2568,551
25778,552
2580,553
2582,554
25824,555
25865,556
2593,557
2595,558
2597,559
25974,560
25989,561
26,562
26013,563
26090,564
26140,565
2618,566
262,567
26275,568
2629,569
2638,570
2648,571
26524,572
26576,573
2671,574
2677,575
2678,576
2692,577
2697,578
27,579
27094,580
27102,581
27115,582
27148,583
27250,584
27306,585
27330,586
27345,587
27347,588
2739,589
2740,590
2741,591
2742,592
2743,593
2744,594
2752,595
276,596
2778,597
279,598
2815,599
28234,600
2831,601
283383,602
2840,603
2841,604
2847,605
2852,606
285220,607
2859,608
2862,609
28639,610
2864,611
2868,612
2869,613
2872,614
28755,615
2885,616
2891,617
2892,618
289483-69-8,619
2897,620
2898,621
28988,622
28996,623
290,624
2902,625
2903,626
2904,627
2905,628
2906,629
2908,630
2911,631
29110,632
2912,633
2913,634
2915,635
2916,636
2931,637
2932,638
2936,639
2937,640
2939,641
2950,642
2977,643
2983,644
29850,645
29881,646
29952,647
29968,648
2998,649
29991,650
29994,651
"3-(3,4-dihydroxyphenyl)prop-2-enoic acid",652
3-AMINO-2-OXAZOLIDINONE,653
3-BDO,654
3-Bromopyruvate,655
3-Deazaneplanocin A,656
3-Methyladenine,657
3-indolebutyric acid,658
3005,659
301,660
3028,661
303727-31-3,662
3039,663
3040,664
3043,665
3055,666
3064,667
3065,668
3066,669
3073,670
3074,671
30811,672
30814,673
308246-52-8,674
3091,675
309928-48-1,676
3105,677
31221,678
"31221

5159",679
314042-01-8,680
3156,681
315703-52-7,682
316,683
3172,684
317318-70-0,685
3176,686
3178,687
319460-94-1,688
3206,689
3242,690
3248,691
3249,692
3251,693
326625,694
3269,695
3274,696
3276,697
328,698
3283,699
3284,700
3290,701
3291,702
3292,703
3293,704
3294,705
3309,706
3312,707
3315,708
332,709
3320,710
3326,711
3350,712
3351,713
3352,714
3354,715
3355,716
3356,717
3357,718
3358,719
3359,720
3360,721
3361,722
3362,723
3363,724
338442,725
338567,726
340024,727
340156,728
341676,729
3417,730
343450,731
3458,732
347732,733
34793-34-5,734
3480,735
3486,736
348980,737
351,738
353189,739
354,740
3551,741
3553,742
3554,743
3558,744
3562,745
3565,746
3567,747
3569,748
3576,749
3577,750
3579,751
358,752
35922-06-6,753
36,754
3614,755
3615,756
3619,757
3620,758
3623,759
3643,760
3645,761
3654,762
367,763
3676,764
368,765
3683,766
3689,767
369,768
3690,769
3702,770
3708,771
3709,772
3710,773
3716,774
3717,775
3718,776
372196-67-3,777
3725,778
3735,779
3736,780
3737,781
3738,782
3739,783
3741,784
3743,785
3744,786
3746,787
3747,788
375,789
3751,790
3752,791
3753,792
3756,793
3757,794
3758,795
3761,796
3762,797
3763,798
3764,799
3767,800
3768,801
3775,802
3776,803
377677,804
3777,805
3778,806
3779,807
3780,808
3781,809
3782,810
3783,811
3784,812
3785,813
3786,814
378807,815
3791,816
38,817
3815,818
38194-50-2,819
3855,820
3859,821
387129,822
388228,823
389840,824
390245,825
3932,826
3933,827
3938,828
3939,829
