entity,internal_id,embedding_source,has_kg_relation,embedding_dimension
CID100016,1707,isolated_untrained,False,128
CID100094,1708,trained,True,128
CID10026128,1709,isolated_untrained,False,128
CID10027278,1710,trained,True,128
CID10029385,1711,trained,True,128
CID10034073,1712,isolated_untrained,False,128
CID10041070,1713,isolated_untrained,False,128
CID10047612,1714,trained,True,128
CID10052040,1715,trained,True,128
CID1005519,1716,isolated_untrained,False,128
CID10056071,1717,trained,True,128
CID1005654,1718,isolated_untrained,False,128
CID10070893,1719,isolated_untrained,False,128
CID10074640,1720,trained,True,128
CID10077130,1721,trained,True,128
CID10077147,1722,trained,True,128
CID10090485,1723,trained,True,128
CID10090750,1724,trained,True,128
CID10095659,1725,trained,True,128
CID10096344,1726,trained,True,128
CID101043861,1727,trained,True,128
CID10109823,1728,isolated_untrained,False,128
CID10113978,1729,trained,True,128
CID10126189,1730,isolated_untrained,False,128
CID10127622,1731,isolated_untrained,False,128
CID10133,1732,trained,True,128
CID1013376,1733,isolated_untrained,False,128
CID10138980,1734,isolated_untrained,False,128
CID10141893,1735,isolated_untrained,False,128
CID101526,1736,trained,True,128
CID10152654,1737,isolated_untrained,False,128
CID10158562,1738,isolated_untrained,False,128
CID10158940,1739,isolated_untrained,False,128
CID10160238,1740,isolated_untrained,False,128
CID10168,1741,isolated_untrained,False,128
CID10172943,1742,isolated_untrained,False,128
CID10173277,1743,trained,True,128
CID101744,1744,isolated_untrained,False,128
CID10174505,1745,isolated_untrained,False,128
CID10177,1746,trained,True,128
CID10180,1747,trained,True,128
CID10182969,1748,trained,True,128
CID10184653,1749,trained,True,128
CID10195250,1750,isolated_untrained,False,128
CID10201696,1751,isolated_untrained,False,128
CID10202642,1752,trained,True,128
CID10206,1753,isolated_untrained,False,128
CID10207,1754,isolated_untrained,False,128
CID10208,1755,isolated_untrained,False,128
CID102175,1756,isolated_untrained,False,128
CID10219,1757,trained,True,128
CID10226546,1758,trained,True,128
CID10228,1759,trained,True,128
CID10231331,1760,isolated_untrained,False,128
CID10235,1761,trained,True,128
CID10237,1762,isolated_untrained,False,128
CID102484,1763,isolated_untrained,False,128
CID10253143,1764,isolated_untrained,False,128
CID10256643,1765,isolated_untrained,False,128
CID10271028,1766,isolated_untrained,False,128
CID10275789,1767,trained,True,128
CID10280735,1768,trained,True,128
CID10286159,1769,trained,True,128
CID10288191,1770,isolated_untrained,False,128
CID10294813,1771,isolated_untrained,False,128
CID10296883,1772,isolated_untrained,False,128
CID10297043,1773,trained,True,128
CID10302451,1774,trained,True,128
CID10317566,1775,isolated_untrained,False,128
CID10322165,1776,isolated_untrained,False,128
CID10331844,1777,trained,True,128
CID10339178,1778,trained,True,128
CID10339779,1779,isolated_untrained,False,128
CID10341154,1780,trained,True,128
CID10348973,1781,isolated_untrained,False,128
CID10354063,1782,isolated_untrained,False,128
CID10365033,1783,isolated_untrained,False,128
CID10366136,1784,isolated_untrained,False,128
CID10367662,1785,trained,True,128
CID10369242,1786,isolated_untrained,False,128
CID10377751,1787,isolated_untrained,False,128
CID10384072,1788,trained,True,128
CID10409068,1789,isolated_untrained,False,128
CID10427712,1790,isolated_untrained,False,128
CID10430360,1791,isolated_untrained,False,128
CID10435235,1792,isolated_untrained,False,128
CID10437018,1793,trained,True,128
CID10458325,1794,trained,True,128
CID1046,1795,trained,True,128
CID10461508,1796,trained,True,128
CID10461815,1797,isolated_untrained,False,128
CID1047,1798,isolated_untrained,False,128
CID104741,1799,trained,True,128
CID10474335,1800,isolated_untrained,False,128
CID10475633,1801,trained,True,128
CID104769,1802,trained,True,128
CID104794,1803,trained,True,128
CID104799,1804,trained,True,128
CID1048267,1805,isolated_untrained,False,128
CID104850,1806,trained,True,128
CID104858,1807,isolated_untrained,False,128
CID104865,1808,trained,True,128
CID104920,1809,isolated_untrained,False,128
CID105066,1810,isolated_untrained,False,128
CID105115,1811,isolated_untrained,False,128
CID10531,1812,trained,True,128
CID10607,1814,trained,True,128
CID10621,1815,trained,True,128
CID10629256,1816,isolated_untrained,False,128
CID10639,1817,isolated_untrained,False,128
CID10648,1818,isolated_untrained,False,128
CID1067700,1819,isolated_untrained,False,128
CID1069686,1820,isolated_untrained,False,128
CID10701,1821,isolated_untrained,False,128
CID107706,1822,trained,True,128
CID107751,1823,trained,True,128
CID107771,1824,trained,True,128
CID107778,1825,trained,True,128
CID107807,1826,trained,True,128
CID107848,1827,isolated_untrained,False,128
CID107935,1828,trained,True,128
CID107952,1829,isolated_untrained,False,128
CID107969,1830,trained,True,128
CID107970,1831,trained,True,128
CID107971,1832,trained,True,128
CID107985,1833,trained,True,128
CID108092,1834,trained,True,128
CID108107,1835,isolated_untrained,False,128
CID108143,1836,trained,True,128
CID108144,1837,isolated_untrained,False,128
CID108150,1838,trained,True,128
CID108187,1839,trained,True,128
CID10830,1840,isolated_untrained,False,128
CID10830874,1841,isolated_untrained,False,128
CID10866,1842,trained,True,128
CID10917,1844,trained,True,128
CID10921,1845,trained,True,128
CID10995177,1846,isolated_untrained,False,128
CID1102,1847,trained,True,128
CID11057,1848,trained,True,128
CID110635,1849,trained,True,128
CID11064619,1850,isolated_untrained,False,128
CID11065,1851,trained,True,128
CID11074431,1852,isolated_untrained,False,128
CID11079,1853,isolated_untrained,False,128
CID11092,1854,trained,True,128
CID11102,1855,trained,True,128
CID11152667,1856,trained,True,128
CID11154925,1857,isolated_untrained,False,128
CID11159621,1858,trained,True,128
CID11167112,1859,isolated_untrained,False,128
CID11167602,1860,trained,True,128
CID11175137,1861,isolated_untrained,False,128
CID11178236,1862,isolated_untrained,False,128
CID11188409,1863,isolated_untrained,False,128
CID11201705,1864,trained,True,128
CID11210478,1865,isolated_untrained,False,128
CID11213558,1866,trained,True,128
CID11214940,1867,isolated_untrained,False,128
CID11219835,1868,trained,True,128
CID11222830,1869,trained,True,128
CID11224,1870,trained,True,128
CID11226684,1871,isolated_untrained,False,128
CID11228183,1872,trained,True,128
CID11234052,1873,isolated_untrained,False,128
CID11238147,1874,isolated_untrained,False,128
CID11242315,1875,trained,True,128
CID11243536,1876,trained,True,128
CID11243969,1877,trained,True,128
CID11248490,1878,isolated_untrained,False,128
CID11248978,1879,isolated_untrained,False,128
CID11249084,1880,isolated_untrained,False,128
CID11249248,1881,isolated_untrained,False,128
CID11256664,1882,isolated_untrained,False,128
CID11256720,1883,isolated_untrained,False,128
CID11271909,1884,trained,True,128
CID11272610,1885,isolated_untrained,False,128
