head,relation,tail
CID100094,combination,CID11347535
CID10027278,combination,CID11347535
CID10029385,combination,CID11347535
CID10047612,combination,CID6135
CID10052040,combination,CID11347535
CID10056071,combination,CID11347535
CID10074640,combination,CID11347535
CID10077147,combination,CID24821094
CID10090485,combination,CID11977753
CID10090485,combination,CID16654980
CID10090485,combination,CID176870
CID10090485,combination,CID208908
CID10090485,combination,CID23725625
CID10090485,combination,CID24821094
CID10090485,combination,CID24964624
CID10090485,combination,CID24978538
CID10090485,combination,CID3062316
CID10090485,combination,CID51001932
CID10090485,combination,CID5330286
CID10090485,combination,CID53340771
CID10090485,combination,CID60838
CID10090485,combination,CID90241673
CID10090485,combination,CID9887053
CID10090750,combination,CID10339178
CID10090750,combination,CID11243969
CID10090750,combination,CID11876263
CID10090750,combination,CID122108
CID10090750,combination,CID130881
CID10090750,combination,CID130904
CID10090750,combination,CID13109
CID10090750,combination,CID135398740
CID10090750,combination,CID135413536
CID10090750,combination,CID135415564
CID10090750,combination,CID1461
CID10090750,combination,CID150311
CID10090750,combination,CID157920
CID10090750,combination,CID165580
CID10090750,combination,CID16667669
CID10090750,combination,CID1935
CID10090750,combination,CID1989
CID10090750,combination,CID2082
CID10090750,combination,CID208898
CID10090750,combination,CID2130
CID10090750,combination,CID2170
CID10090750,combination,CID219078
CID10090750,combination,CID2284
CID10090750,combination,CID2578
CID10090750,combination,CID3019
CID10090750,combination,CID3034034
CID10090750,combination,CID3038
CID10090750,combination,CID3055
CID10090750,combination,CID3117
CID10090750,combination,CID3331
CID10090750,combination,CID3373
CID10090750,combination,CID3397
CID10090750,combination,CID3406
CID10090750,combination,CID3519
CID10090750,combination,CID37393
CID10090750,combination,CID3883
CID10090750,combination,CID3955
CID10090750,combination,CID4032
CID10090750,combination,CID4037
CID10090750,combination,CID4054
CID10090750,combination,CID41684
CID10090750,combination,CID4173
CID10090750,combination,CID4212
CID10090750,combination,CID439693
CID10090750,combination,CID445643
CID10090750,combination,CID446987
CID10090750,combination,CID4477
CID10090750,combination,CID449381
CID10090750,combination,CID4513
CID10090750,combination,CID4674
CID10090750,combination,CID5284583
CID10090750,combination,CID5291
CID10090750,combination,CID5310966
CID10090750,combination,CID5311
CID10090750,combination,CID5329102
CID10090750,combination,CID5342
CID10090750,combination,CID5358
CID10090750,combination,CID5360515
CID10090750,combination,CID5426
CID10090750,combination,CID5430
CID10090750,combination,CID5462501
CID10090750,combination,CID54675769
CID10090750,combination,CID54680692
CID10090750,combination,CID5493444
CID10090750,combination,CID5546
CID10090750,combination,CID5831
CID10090750,combination,CID5833
CID10090750,combination,CID5991
CID10090750,combination,CID6013
CID10090750,combination,CID6018
CID10090750,combination,CID60648
CID10090750,combination,CID60753
CID10090750,combination,CID60838
CID10090750,combination,CID6100
CID10090750,combination,CID6321424
CID10090750,combination,CID6337614
CID10090750,combination,CID64139
CID10090750,combination,CID656583
CID10090750,combination,CID68617
CID10090750,combination,CID6914273
CID10090750,combination,CID6918296
CID10090750,combination,CID7550
CID10090750,combination,CID91649
CID10090750,combination,CID92722
CID10090750,combination,CID9811704
CID10090750,combination,CID9930913
CID10095659,combination,CID11347535
CID101043861,combination,CID11347535
CID10133,combination,CID11347535
CID10173277,combination,CID24821094
CID10173277,combination,CID285033
CID10173277,combination,CID3005572
CID10173277,combination,CID358177
CID10173277,combination,CID492405
CID10173277,combination,CID5281078
CID10173277,combination,CID60974
CID10173277,combination,CID6167
CID10173277,combination,CID6456015
CID10177,combination,CID11347535
CID10184653,combination,CID11488320
CID10184653,combination,CID117817422
CID10184653,combination,CID11957503
CID10184653,combination,CID135421197
CID10184653,combination,CID16654980
CID10184653,combination,CID208908
CID10184653,combination,CID23725625
CID10184653,combination,CID24360
CID10184653,combination,CID24785538
CID10184653,combination,CID24964624
CID10184653,combination,CID24978538
CID10184653,combination,CID44462760
CID10184653,combination,CID449171
CID10184653,combination,CID51001932
CID10184653,combination,CID5311
CID10184653,combination,CID5311497
CID10184653,combination,CID5330286
CID10184653,combination,CID60160561
CID10184653,combination,CID6914657
CID10184653,combination,CID71543365
CID10184653,combination,CID71664305
CID10184653,combination,CID9858940
CID10184653,combination,CID9887053
CID10202642,combination,CID11347535
CID10219,combination,CID107771
CID10219,combination,CID11057
CID10219,combination,CID11347535
CID10219,combination,CID11538455
CID10219,combination,CID122262
CID10219,combination,CID17134
CID10219,combination,CID23582824
CID10219,combination,CID25167777
CID10219,combination,CID29112
CID10219,combination,CID37393
CID10219,combination,CID44469321
CID10219,combination,CID447077
CID10219,combination,CID53494972
CID10219,combination,CID57336745
CID10219,combination,CID63224
CID10219,combination,CID6917864
CID10219,combination,CID9852573
CID10226546,combination,CID11347535
CID10226546,combination,CID24821094
CID10228,combination,CID107771
CID10228,combination,CID122262
CID10228,combination,CID44469321
CID10228,combination,CID53494972
CID10228,combination,CID6917864
CID10235,combination,CID107969
CID10235,combination,CID107970
CID10235,combination,CID11524144
CID10235,combination,CID16667669
CID10235,combination,CID2733525
CID10235,combination,CID3062316
CID10235,combination,CID38911
CID10235,combination,CID4477
CID10235,combination,CID5330286
CID10235,combination,CID68546
CID10275789,combination,CID11347535
CID10297043,combination,CID11347535
CID10297043,combination,CID11442891
CID10297043,combination,CID24978538
CID10297043,combination,CID446378
CID10297043,combination,CID60060499
CID10297043,combination,CID6917864
CID10297043,combination,CID73265223
CID10297043,combination,CID73265233
CID10302451,combination,CID24821094
CID10331844,combination,CID11347535
CID10339178,combination,CID104741
CID10339178,combination,CID11243969
CID10339178,combination,CID11520894
CID10339178,combination,CID11525740
CID10339178,combination,CID11876263
CID10339178,combination,CID11977753
CID10339178,combination,CID122108
CID10339178,combination,CID123608
CID10339178,combination,CID130881
