drug1_id,drug2_id,drug1_entity,drug2_entity,label,split
1707,3959,CID100016,CID5394,1,mixed
1709,1976,CID10026128,CID11598628,1,mixed
1710,3959,CID10027278,CID5394,1,mixed
1710,4599,CID10027278,CID6918837,1,mixed
1711,4599,CID10029385,CID6918837,1,mixed
1712,3959,CID10034073,CID5394,1,mixed
1713,3959,CID10041070,CID5394,1,mixed
1714,1976,CID10047612,CID11598628,1,mixed
1714,3203,CID10047612,CID4046,1,mixed
1716,1976,CID1005519,CID11598628,1,mixed
1718,1976,CID1005654,CID11598628,1,mixed
1718,2740,CID1005654,CID24821094,1,mixed
1719,2803,CID10070893,CID25126798,1,mixed
1719,3549,CID10070893,CID46907787,1,mixed
1720,3959,CID10074640,CID5394,1,mixed
1720,4599,CID10074640,CID6918837,1,mixed
1721,1976,CID10077130,CID11598628,1,mixed
1721,4599,CID10077130,CID6918837,1,mixed
1722,2803,CID10077147,CID25126798,1,mixed
1722,4599,CID10077147,CID6918837,1,mixed
1723,1856,CID10090485,CID11152667,1,mixed
1723,1986,CID10090485,CID11626560,1,mixed
1723,1991,CID10090485,CID11640390,1,mixed
1723,2007,CID10090485,CID11707110,1,mixed
1723,2138,CID10090485,CID126941,1,mixed
1723,2385,CID10090485,CID16070111,1,mixed
1723,2576,CID10090485,CID216239,1,mixed
1723,2747,CID10090485,CID24856436,1,mixed
1723,2753,CID10090485,CID24866313,1,mixed
1723,2803,CID10090485,CID25126798,1,mixed
1723,3030,CID10090485,CID31703,1,mixed
1723,3073,CID10090485,CID3385,1,mixed
1723,3117,CID10090485,CID36314,1,mixed
1723,3197,CID10090485,CID4030,1,mixed
1723,3549,CID10090485,CID46907787,1,mixed
1723,3560,CID10090485,CID46926973,1,mixed
1723,3743,CID10090485,CID5281032,1,mixed
1723,3959,CID10090485,CID5394,1,mixed
1723,3979,CID10090485,CID5460033,1,mixed
1723,4130,CID10090485,CID57339144,1,mixed
1723,4266,CID10090485,CID60199242,1,mixed
1723,4289,CID10090485,CID60750,1,mixed
1723,4599,CID10090485,CID6918837,1,mixed
1723,4676,CID10090485,CID71729975,1,mixed
1724,1795,CID10090750,CID1046,1,mixed
1724,1798,CID10090750,CID1047,1,mixed
1724,1807,CID10090750,CID104858,1,mixed
1724,1808,CID10090750,CID104865,1,mixed
1724,1812,CID10090750,CID10531,1,mixed
1724,1960,CID10090750,CID115355,1,mixed
1724,2056,CID10090750,CID119182,1,mixed
1724,2093,CID10090750,CID120181,1,mixed
1724,2100,CID10090750,CID121396,1,mixed
1724,2110,CID10090750,CID121858,1,mixed
1724,2120,CID10090750,CID12314839,1,mixed
1724,2124,CID10090750,CID123631,1,mixed
1724,2138,CID10090750,CID126941,1,mixed
1724,2145,CID10090750,CID129228,1,mixed
1724,2151,CID10090750,CID130313,1,mixed
1724,2167,CID10090750,CID13342,1,mixed
1724,2169,CID10090750,CID134018,1,mixed
1724,2176,CID10090750,CID13520,1,mixed
1724,2197,CID10090750,CID135398744,1,mixed
1724,2238,CID10090750,CID135449332,1,mixed
1724,2277,CID10090750,CID13769,1,mixed
1724,2278,CID10090750,CID13789,1,mixed
1724,2290,CID10090750,CID14052,1,mixed
1724,2300,CID10090750,CID148124,1,mixed
1724,2334,CID10090750,CID15459,1,mixed
1724,2353,CID10090750,CID156419,1,mixed
1724,2412,CID10090750,CID16231,1,mixed
1724,2414,CID10090750,CID163091,1,mixed
1724,2524,CID10090750,CID1986,1,mixed
1724,2525,CID10090750,CID19861,1,mixed
1724,2545,CID10090750,CID208902,1,mixed
1724,2553,CID10090750,CID2123,1,mixed
1724,2564,CID10090750,CID2153,1,mixed
1724,2576,CID10090750,CID216239,1,mixed
1724,2581,CID10090750,CID2165,1,mixed
1724,2589,CID10090750,CID2187,1,mixed
1724,2708,CID10090750,CID2471,1,mixed
1724,2720,CID10090750,CID2477,1,mixed
1724,2841,CID10090750,CID25249,1,mixed
1724,2857,CID10090750,CID2576,1,mixed
1724,2878,CID10090750,CID2708,1,mixed
1724,2881,CID10090750,CID2719,1,mixed
1724,2895,CID10090750,CID2733,1,mixed
1724,2915,CID10090750,CID2771,1,mixed
1724,2920,CID10090750,CID2796,1,mixed
1724,2921,CID10090750,CID2797,1,mixed
1724,2956,CID10090750,CID3000518,1,mixed
1724,2958,CID10090750,CID3002977,1,mixed
1724,2965,CID10090750,CID3009,1,mixed
1724,2970,CID10090750,CID3019427,1,mixed
1724,2983,CID10090750,CID3034010,1,mixed
1724,2998,CID10090750,CID3052,1,mixed
1724,3013,CID10090750,CID3108,1,mixed
1724,3024,CID10090750,CID3156,1,mixed
1724,3030,CID10090750,CID31703,1,mixed
1724,3039,CID10090750,CID3229,1,mixed
1724,3046,CID10090750,CID33036,1,mixed
1724,3056,CID10090750,CID3342,1,mixed
1724,3081,CID10090750,CID3415,1,mixed
1724,3087,CID10090750,CID3446,1,mixed
1724,3118,CID10090750,CID3637,1,mixed
1724,3122,CID10090750,CID3652,1,mixed
1724,3124,CID10090750,CID3657,1,mixed
1724,3135,CID10090750,CID3696,1,mixed
1724,3145,CID10090750,CID37542,1,mixed
1724,3147,CID10090750,CID3767,1,mixed
1724,3148,CID10090750,CID3779,1,mixed
1724,3161,CID10090750,CID38521,1,mixed
1724,3162,CID10090750,CID387447,1,mixed
1724,3163,CID10090750,CID3878,1,mixed
1724,3166,CID10090750,CID38853,1,mixed
1724,3168,CID10090750,CID3899,1,mixed
1724,3178,CID10090750,CID394397,1,mixed
1724,3186,CID10090750,CID39764,1,mixed
1724,3195,CID10090750,CID4011,1,mixed
1724,3197,CID10090750,CID4030,1,mixed
1724,3203,CID10090750,CID4046,1,mixed
1724,3208,CID10090750,CID4060,1,mixed
1724,3213,CID10090750,CID4075,1,mixed
1724,3217,CID10090750,CID4091,1,mixed
1724,3226,CID10090750,CID4121,1,mixed
1724,3244,CID10090750,CID4211,1,mixed
1724,3248,CID10090750,CID4219798,1,mixed
1724,3271,CID10090750,CID4369359,1,mixed
1724,3289,CID10090750,CID441207,1,mixed
1724,3293,CID10090750,CID441300,1,mixed
1724,3302,CID10090750,CID441350,1,mixed
1724,3415,CID10090750,CID446541,1,mixed
1724,3420,CID10090750,CID447043,1,mixed
1724,3443,CID10090750,CID448812,1,mixed
1724,3529,CID10090750,CID4641,1,mixed
1724,3530,CID10090750,CID4649,1,mixed
1724,3545,CID10090750,CID4688,1,mixed
1724,3577,CID10090750,CID4735,1,mixed
1724,3611,CID10090750,CID4891,1,mixed
1724,3616,CID10090750,CID4909,1,mixed
1724,3617,CID10090750,CID4911,1,mixed
1724,3620,CID10090750,CID4915,1,mixed
1724,3674,CID10090750,CID5070,1,mixed
1724,3676,CID10090750,CID5073,1,mixed
1724,3713,CID10090750,CID51634,1,mixed
1724,3755,CID10090750,CID5281081,1,mixed
1724,3810,CID10090750,CID5284513,1,mixed
1724,3814,CID10090750,CID5284592,1,mixed
1724,3818,CID10090750,CID5284627,1,mixed
1724,3852,CID10090750,CID5311181,1,mixed
1724,3856,CID10090750,CID5311309,1,mixed
1724,3875,CID10090750,CID5324346,1,mixed
1724,3880,CID10090750,CID5326,1,mixed
1724,3946,CID10090750,CID5360696,1,mixed
1724,3959,CID10090750,CID5394,1,mixed
1724,3960,CID10090750,CID5401,1,mixed
1724,3971,CID10090750,CID5453,1,mixed
1724,3986,CID10090750,CID54671008,1,mixed
1724,3989,CID10090750,CID54675776,1,mixed
1724,4021,CID10090750,CID5479,1,mixed
1724,4043,CID10090750,CID5504,1,mixed
1724,4049,CID10090750,CID5526,1,mixed
1724,4050,CID10090750,CID55283,1,mixed
1724,4052,CID10090750,CID55329,1,mixed
1724,4053,CID10090750,CID5533,1,mixed
1724,4057,CID10090750,CID5566,1,mixed
1724,4058,CID10090750,CID5568,1,mixed
1724,4059,CID10090750,CID5572,1,mixed
1724,4061,CID10090750,CID5577,1,mixed
1724,4064,CID10090750,CID5585,1,mixed
1724,4104,CID10090750,CID56959,1,mixed
1724,4121,CID10090750,CID5719,1,mixed
1724,4149,CID10090750,CID5748,1,mixed
1724,4184,CID10090750,CID5755,1,mixed
1724,4200,CID10090750,CID5816,1,mixed
1724,4209,CID10090750,CID5849,1,mixed
1724,4222,CID10090750,CID5920,1,mixed
1724,4274,CID10090750,CID60490,1,mixed
