internal_id,entity,CID,has_smiles,degree
1707,CID100016,CID100016,True,1
1708,CID100094,CID100094,True,1
1710,CID10027278,CID10027278,True,3
1711,CID10029385,CID10029385,True,2
1712,CID10034073,CID10034073,True,1
1713,CID10041070,CID10041070,True,1
1714,CID10047612,CID10047612,True,3
1715,CID10052040,CID10052040,True,1
1716,CID1005519,CID1005519,True,1
1717,CID10056071,CID10056071,True,1
1719,CID10070893,CID10070893,True,2
1720,CID10074640,CID10074640,True,3
1721,CID10077130,CID10077130,True,2
1722,CID10077147,CID10077147,True,3
1723,CID10090485,CID10090485,True,39
1724,CID10090750,CID10090750,True,248
1725,CID10095659,CID10095659,True,3
1726,CID10096344,CID10096344,True,3
1727,CID101043861,CID101043861,True,1
1728,CID10109823,CID10109823,True,3
1732,CID10133,CID10133,True,4
1733,CID1013376,CID1013376,True,1
1734,CID10138980,CID10138980,True,1
1735,CID10141893,CID10141893,True,1
1736,CID101526,CID101526,True,2
1739,CID10158940,CID10158940,True,2
1740,CID10160238,CID10160238,True,1
1743,CID10173277,CID10173277,True,13
1746,CID10177,CID10177,True,4
1748,CID10182969,CID10182969,True,2
1749,CID10184653,CID10184653,True,56
1750,CID10195250,CID10195250,True,3
1751,CID10201696,CID10201696,True,1
1752,CID10202642,CID10202642,True,2
1753,CID10206,CID10206,True,1
1754,CID10207,CID10207,True,2
1756,CID102175,CID102175,True,1
1757,CID10219,CID10219,True,41
1758,CID10226546,CID10226546,True,3
1759,CID10228,CID10228,True,12
1760,CID10231331,CID10231331,True,2
1761,CID10235,CID10235,True,26
1762,CID10237,CID10237,True,1
1763,CID102484,CID102484,True,1
1764,CID10253143,CID10253143,True,2
1765,CID10256643,CID10256643,True,1
1766,CID10271028,CID10271028,True,2
1767,CID10275789,CID10275789,True,3
1768,CID10280735,CID10280735,True,1
1769,CID10286159,CID10286159,True,2
1770,CID10288191,CID10288191,True,2
1771,CID10294813,CID10294813,True,1
1772,CID10296883,CID10296883,True,2
1773,CID10297043,CID10297043,True,20
1774,CID10302451,CID10302451,True,4
1775,CID10317566,CID10317566,True,4
1777,CID10331844,CID10331844,True,1
1778,CID10339178,CID10339178,True,361
1779,CID10339779,CID10339779,True,3
1780,CID10341154,CID10341154,True,4
1781,CID10348973,CID10348973,True,1
1783,CID10365033,CID10365033,True,1
1785,CID10367662,CID10367662,True,2
1787,CID10377751,CID10377751,True,1
1789,CID10409068,CID10409068,True,1
1791,CID10430360,CID10430360,True,1
1792,CID10435235,CID10435235,True,2
1793,CID10437018,CID10437018,True,2
1794,CID10458325,CID10458325,True,4
1796,CID10461508,CID10461508,True,5
1799,CID104741,CID104741,True,103
1800,CID10474335,CID10474335,True,1
1801,CID10475633,CID10475633,True,45
1803,CID104794,CID104794,True,3
1804,CID104799,CID104799,True,2
1805,CID1048267,CID1048267,True,1
1811,CID105115,CID105115,True,1
1815,CID10621,CID10621,True,3
1816,CID10629256,CID10629256,True,3
1818,CID10648,CID10648,True,1
1821,CID10701,CID10701,True,2
1822,CID107706,CID107706,True,2
